"","BTCUSDT","ETHUSDT","BNBUSDT","LTCUSDT","WUI","GPR","FROM"
"BTCUSDT","35.37","23.50","10.26","26.13"," 4.18"," 0.56","64.63"
"ETHUSDT","24.58","38.00"," 7.42","24.35"," 4.50"," 1.16","62.00"
"BNBUSDT","16.55","10.80","54.68","12.07"," 4.26"," 1.64","45.32"
"LTCUSDT","25.89","22.46"," 8.70","36.10"," 5.90"," 0.96","63.90"
"WUI"," 2.02"," 2.84"," 2.24"," 1.25","90.76"," 0.88"," 9.24"
"GPR"," 1.43"," 0.95"," 2.96"," 1.60","13.02","80.04","19.96"
"TO"," 70.46"," 60.55"," 31.57"," 65.41"," 31.86","  5.20","265.05"
"Inc.Own","105.84"," 98.54"," 86.25","101.51","122.61"," 85.24","cTCI/TCI"
"NET","  5.84"," -1.46","-13.75","  1.51"," 22.61","-14.76","53.01/44.17"
"NPT","3.00","1.00","1.00","4.00","5.00","1.00",""
