"","BTCUSDT","ETHUSDT","BNBUSDT","XRPUSDT","ADAUSDT","DOGEUSDT","MATICUSDT","LTCUSDT","WUI","GPR","FROM"
"BTCUSDT","20.16"," 7.60","17.24"," 4.05","12.71"," 4.12","12.93","15.92"," 3.29"," 1.97","79.84"
"ETHUSDT"," 9.04","24.23"," 6.74","11.25"," 8.94"," 9.31"," 7.68","10.82","10.01"," 1.97","75.77"
"BNBUSDT","17.84"," 5.03","20.59"," 4.27","14.20"," 3.69","15.02","14.93"," 2.75"," 1.66","79.41"
"XRPUSDT"," 6.95","11.84"," 7.96","27.34","10.27","12.47"," 9.50"," 8.74"," 2.79"," 2.13","72.66"
"ADAUSDT","13.37"," 6.85","14.67"," 5.57","20.57"," 3.72","15.47","13.29"," 3.35"," 3.13","79.43"
"DOGEUSDT"," 6.97","10.67"," 7.98","14.72"," 8.29","29.69"," 9.71"," 7.52"," 2.63"," 1.82","70.31"
"MATICUSDT","14.22"," 5.55","16.17"," 5.45","15.92"," 5.38","21.16","11.79"," 2.84"," 1.50","78.84"
"LTCUSDT","15.63"," 9.35","14.42"," 5.52","12.78"," 4.77","11.09","19.35"," 3.78"," 3.31","80.65"
"WUI"," 3.31","17.71"," 2.58"," 1.48"," 5.12"," 1.96"," 4.56"," 3.78","59.28"," 0.23","40.72"
"GPR"," 7.95"," 5.25"," 7.55"," 4.05","10.64"," 3.12"," 7.44","10.16"," 3.25","40.61","59.39"
"TO"," 95.29"," 79.85"," 95.32"," 56.36"," 98.87"," 48.55"," 93.42"," 96.95"," 34.70"," 17.73","717.01"
"Inc.Own","115.45","104.08","115.91"," 83.70","119.44"," 78.24","114.58","116.29"," 93.98"," 58.33","cTCI/TCI"
"NET"," 15.45","  4.08"," 15.91","-16.30"," 19.44","-21.76"," 14.58"," 16.29"," -6.02","-41.67","79.67/71.70"
"NPT","8.00","4.00","6.00","2.00","6.00","1.00","5.00","8.00","5.00","0.00",""
