"","BTCUSDT","ETHUSDT","BNBUSDT","LTCUSDT","UCRY.Policy.Index","UCRY.Price.Index","FROM"
"BTCUSDT","32.42","23.92","18.53","21.70"," 1.66"," 1.77","67.58"
"ETHUSDT","22.10","33.14","18.33","22.38"," 2.06"," 1.99","66.86"
"BNBUSDT","19.39","22.14","36.25","17.86"," 2.21"," 2.15","63.75"
"LTCUSDT","21.43","23.63","16.09","35.66"," 1.63"," 1.56","64.34"
"UCRY.Policy.Index"," 2.45"," 3.03"," 2.65"," 3.04","48.97","39.85","51.03"
"UCRY.Price.Index"," 2.62"," 3.01"," 2.63"," 2.89","39.83","49.02","50.98"
"TO"," 67.99"," 75.73"," 58.23"," 67.87"," 47.39"," 47.33","364.54"
"Inc.Own","100.41","108.88"," 94.48","103.52"," 96.36"," 96.35","cTCI/TCI"
"NET"," 0.41"," 8.88","-5.52"," 3.52","-3.64","-3.65","72.91/60.76"
"NPT","3.00","5.00","2.00","4.00","0.00","1.00",""
